Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,13168,0,22000.0,24069.748618254707,46.014073999685934,66715.97333200043,9912.069334750911,73.2601844025856,0.0,22000,31000,36000,39000,47000,51000,55000,57000,64000,66000,67000
GET,/cart,4028,0,20000.0,21217.729799521334,287.7419960022962,59815.82864399752,7464.54766633565,22.40978301743733,0.0,20000,27000,31000,33000,39000,43000,46000,48000,54000,60000,60000
POST,/cart,2417,0,27000.0,29971.63380014938,301.26130799908424,79612.33176799942,16217.615225486139,13.446982510711527,0.0,27000,39000,45000,49000,58000,65000,70000,73000,77000,80000,80000
POST,/cart/checkout,591,0,23000.0,23955.53108888331,210.07111599828932,68475.99024800002,6404.4348561759725,3.288029236173154,0.0,23000,32000,35000,37000,44000,47000,53000,59000,68000,68000,68000
GET,/product/0PUK6V6EV0,1928,0,22000.0,23373.10939230658,318.37919000099646,66654.08678500171,7322.560684647303,10.726430401593639,0.0,22000,30000,35000,37000,46000,50000,54000,55000,63000,67000,67000
GET,/product/1YMWWN1N4O,1897,0,21000.0,23008.778253796518,288.67870699832565,65950.37780699931,7335.836584080126,10.553961862978802,0.0,21000,30000,34000,37000,46000,50000,53000,55000,64000,66000,66000
GET,/product/2ZYFJ3GM2N,1848,0,20000.0,22446.778476943713,319.4715770005132,65118.04379500245,7345.965909090909,10.28135030194245,0.0,20000,29000,34000,37000,45000,50000,54000,55000,65000,65000,65000
GET,/product/66VCHSJNUP,1873,0,21000.0,22930.783092790745,209.82059500238393,64652.017184002034,7313.735718099306,10.420437833083447,0.0,21000,29000,34000,37000,45000,49000,53000,55000,64000,65000,65000
GET,/product/6E92ZMYYFZ,2020,0,21000.0,22712.76939572663,214.50233399809804,64035.0412709995,7293.704950495049,11.238272516192504,0.0,21000,29000,34000,36000,45000,49000,53000,55000,62000,64000,64000
GET,/product/9SIQT8TOJO,1900,0,22000.0,22906.49177727216,209.03495099992142,63780.16817599928,7349.642631578948,10.570652366715722,0.0,22000,29000,34000,37000,46000,50000,54000,55000,64000,64000,64000
GET,/product/L9ECAV7KIM,1980,0,21000.0,22950.437738032328,290.8750050009985,63906.60983399721,7305.339393939394,11.015732466366911,0.0,21000,30000,35000,37000,45000,50000,53000,55000,63000,64000,64000
GET,/product/LS4PSXUNUM,1926,0,20000.0,22661.759570382117,297.1633019988076,62991.67798900089,7309.548805815161,10.715303399102359,0.0,20000,29000,34000,37000,46000,50000,54000,55000,63000,63000,63000
GET,/product/OLJCESPC7Z,1961,0,20000.0,22336.201532845433,293.34857299909345,64498.33701700118,7338.679755226925,10.910025942699754,0.0,20000,29000,34000,36000,45000,49000,53000,55000,63000,64000,64000
POST,/setCurrency,2168,0,25000.0,29391.737234801185,423.28592500052764,82503.52519300213,9933.68127306273,12.061670700547204,0.0,25000,37000,45000,50000,59000,66000,72000,75000,80000,83000,83000
,Aggregated,39705,0,22000.0,23880.361555500647,46.014073999685934,82503.52519300213,8866.591487218235,220.8988169581304,0.0,22000,30000,35000,38000,47000,52000,56000,62000,75000,80000,83000
