Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,3370,282,86000.0,79809.55155586408,52.7880029999892,161295.484478,9052.33056379822,18.73884567376437,1.5680577091992738,86000,103000,113000,117000,129000,137000,147000,151000,158000,161000,161000
GET,/cart,292,50,74000.0,62088.75583110274,2.790178000054766,114013.97673000002,5362.986301369863,1.6236625925042125,0.2780244165246939,75000,90000,95000,98000,105000,108000,112000,113000,114000,114000,114000
POST,/cart,60,46,68,24372.737640650004,2.77914299999793,150309.07177700003,3749.733333333333,0.3336292998296327,0.2557824632027184,69,100,180,39000,129000,142000,150000,150000,150000,150000,150000
POST,/cart/checkout,19,18,16,6079.266127526323,6.7983269999558615,115211.98101600003,336.4736842105263,0.10564927827938368,0.10008878994888981,16,18,22,22,26,115000,115000,115000,115000,115000,115000
GET,/product/0PUK6V6EV0,104,25,77000.0,61698.456682442295,139.02182499998617,134601.824006,5570.625,0.5782907863713633,0.13901220826234695,77000,92000,100000,104000,117000,127000,130000,130000,135000,135000,135000
GET,/product/1YMWWN1N4O,104,21,77000.0,67848.82978139425,3.050199000028897,143518.069035,5884.798076923077,0.5782907863713633,0.11677025494037145,80000,96000,101000,103000,116000,129000,132000,133000,144000,144000,144000
GET,/product/2ZYFJ3GM2N,91,28,56000.0,56667.674161472554,129.64144900001884,131274.09880200002,5118.923076923077,0.5060044380749429,0.1556936732538286,56000,89000,99000,104000,120000,128000,131000,131000,131000,131000,131000
GET,/product/66VCHSJNUP,79,21,55000.0,56807.1125667848,3.115221000030033,137940.03455,5400.784810126583,0.4392785781090164,0.11677025494037145,55000,85000,101000,102000,120000,127000,136000,138000,138000,138000,138000
GET,/product/6E92ZMYYFZ,92,24,55000.0,56293.4596013587,2.4091909999697236,142038.76739999998,5419.04347826087,0.5115649264054368,0.1334517199318531,58000,83000,92000,99000,113000,123000,137000,142000,142000,142000,142000
GET,/product/9SIQT8TOJO,101,24,41000.0,51984.50737441585,3.426575999981196,137711.60448799998,5639.920792079208,0.5616093213798817,0.1334517199318531,41000,78000,95000,98000,106000,117000,125000,129000,138000,138000,138000
GET,/product/L9ECAV7KIM,102,22,54000.0,57378.67029992158,51.65551999999707,138234.908405,5782.35294117647,0.5671698097103756,0.12233074327086532,56000,80000,89000,98000,119000,130000,134000,136000,138000,138000,138000
GET,/product/LS4PSXUNUM,87,26,43000.0,49410.434623839086,129.64249700002028,134095.977386,5151.942528735633,0.4837624847529674,0.14457269659284083,43000,74000,86000,91000,112000,128000,133000,134000,134000,134000,134000
GET,/product/OLJCESPC7Z,83,20,51000.0,56945.139805240964,3.0450309999991987,131121.81728500003,5613.313253012048,0.4615205314309919,0.11120976660987757,51000,88000,94000,101000,113000,125000,130000,131000,131000,131000,131000
POST,/setCurrency,47,16,42000.0,51069.15303529787,122.07325699995408,161614.59209500003,6526.489361702128,0.2613429515332123,0.08896781328790206,42000,68000,87000,103000,137000,156000,162000,162000,162000,162000,162000
,Aggregated,4631,623,82000.0,73308.33001555085,2.4091909999697236,161614.59209500003,8047.165622975599,25.750621458517152,3.464184229897686,82000,98000,109000,114000,126000,134000,144000,150000,159000,162000,162000
