Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,3125,381,92000.0,80831.88854099436,2.841028000005963,171785.959187,8674.55232,17.44738993358813,2.1271857807030647,92000,106000,117000,123000,133000,144000,154000,157000,169000,172000,172000
GET,/cart,251,59,67000.0,59083.76620041834,0.8490049999920757,153864.72718,4949.916334661355,1.4013743594657986,0.3294067219461439,67000,84000,95000,100000,113000,126000,143000,148000,154000,154000,154000
POST,/cart,68,56,20,24128.742022882358,0.7241369999917424,156997.528871,2834.544117647059,0.3796552049548777,0.3126572276098993,21,26,33,68,139000,146000,150000,157000,157000,157000,157000
POST,/cart/checkout,23,23,4,3.869230739130968,0.7077250000122604,6.98276500000361,0.0,0.12841278991120864,0.12841278991120864,4,5,6,6,7,7,7,7,7,7,7
GET,/product/0PUK6V6EV0,111,30,51000.0,55575.738832279276,1.0310689999926126,162819.73249700002,5359.783783783784,0.6197312904410504,0.16749494336244605,51000,86000,99000,103000,116000,137000,148000,162000,163000,163000,163000
GET,/product/1YMWWN1N4O,90,29,38000.0,54780.55443051111,1.550236000014138,162460.43340500002,4993.766666666666,0.5024848300873381,0.16191177858369785,44000,87000,105000,107000,135000,142000,155000,162000,162000,162000,162000
GET,/product/2ZYFJ3GM2N,113,38,54000.0,55338.7746200177,0.8479580000084752,165881.05234599998,4888.566371681416,0.6308976199985468,0.21216026159243165,54000,86000,99000,105000,128000,139000,154000,155000,166000,166000,166000
GET,/product/66VCHSJNUP,108,33,62000.0,58150.374168981485,2.0569699999839486,160002.476984,5088.759259259259,0.6029817961048057,0.18424443769869064,62000,83000,102000,107000,126000,134000,138000,151000,160000,160000,160000
GET,/product/6E92ZMYYFZ,81,20,46000.0,60613.96498079014,2.1513909999839598,165801.67064700002,5497.395061728395,0.45223634707860433,0.11166329557496403,46000,95000,104000,114000,130000,141000,165000,166000,166000,166000,166000
GET,/product/9SIQT8TOJO,106,33,58000.0,56068.43872315094,1.3975029999926392,165562.822021,5062.981132075472,0.5918154665473093,0.18424443769869064,59000,79000,96000,102000,131000,150000,153000,157000,166000,166000,166000
GET,/product/L9ECAV7KIM,99,30,42000.0,52011.95214780809,2.403849999979002,155531.15819500003,5114.69696969697,0.552733313096072,0.16749494336244605,42000,84000,95000,97000,112000,127000,149000,156000,156000,156000,156000
GET,/product/LS4PSXUNUM,110,35,37000.0,50549.49562107272,1.593743999990238,167422.640815,5004.009090909091,0.6141481256623021,0.19541076725618706,41000,76000,94000,104000,131000,133000,138000,146000,167000,167000,167000
GET,/product/OLJCESPC7Z,99,27,68000.0,57812.03650539391,2.9231560000084755,154162.836128,5328.686868686868,0.552733313096072,0.15074544902620143,68000,91000,102000,104000,119000,130000,154000,154000,154000,154000,154000
POST,/setCurrency,77,50,57,23949.746212,1.6304780000098162,167149.47366699998,3469.818181818182,0.4299036879636115,0.2791582389374101,57,15000,30000,33000,101000,120000,153000,167000,167000,167000,167000
,Aggregated,4461,844,83000.0,72143.76481273776,0.7077250000122604,171785.959187,7514.6828065456175,24.906498077995728,4.712191073263482,83000,101000,111000,118000,132000,142000,153000,157000,168000,172000,172000
