Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,2636,379,79000.0,73905.21168106674,2.009746999988238,163661.85604099996,8458.612670713203,14.685394550308235,2.11144329839409,79000,93000,101000,107000,124000,139000,147000,151000,160000,164000,164000
GET,/cart,180,64,33000.0,41712.087499322224,1.1563000000478496,140793.50349600008,4168.444444444444,1.0027962894747657,0.35654979181325,33000,49000,74000,91000,111000,120000,129000,139000,141000,141000,141000
POST,/cart,71,69,22,2362.4624991830997,0.7632770000327582,83508.73161000005,453.01408450704224,0.3955474252928242,0.3844052442986602,22,29,31,34,57,68,83000,84000,84000,84000,84000
POST,/cart/checkout,22,22,4,4.233481000012902,1.69711700004882,7.889241000043512,0.0,0.1225639909358047,0.1225639909358047,4,5,5,6,6,7,8,8,8,8,8
GET,/product/0PUK6V6EV0,75,34,24000.0,38637.77841230667,1.2226530000134517,121497.01042000004,4003.28,0.41783178728115233,0.18941707690078907,24000,63000,77000,87000,101000,111000,121000,121000,121000,121000,121000
GET,/product/1YMWWN1N4O,82,33,38000.0,39710.13837941464,1.1910829999806083,124200.095562,4404.804878048781,0.4568294207607266,0.18384598640370703,38000,58000,66000,80000,106000,117000,121000,124000,124000,124000,124000
GET,/product/2ZYFJ3GM2N,78,35,20000.0,30502.237699730762,1.3203679999378437,132699.37955900002,4055.9615384615386,0.43454505877239846,0.1949881673978711,22000,48000,60000,63000,77000,88000,116000,133000,133000,133000,133000
GET,/product/66VCHSJNUP,87,32,44000.0,43371.31128706896,1.7052890000286425,131497.00282799994,4621.287356321839,0.48468487324613674,0.178274895906625,44000,62000,72000,80000,103000,117000,126000,131000,131000,131000,131000
GET,/product/6E92ZMYYFZ,80,34,45000.0,43055.85348927501,1.5694390000362546,130591.06050399998,4199.8,0.4456872397665625,0.18941707690078907,47000,70000,79000,84000,98000,127000,129000,131000,131000,131000,131000
GET,/product/9SIQT8TOJO,85,39,23000.0,34296.98829261176,1.2584839998908137,129396.48875499995,3991.4823529411765,0.47354269225197265,0.21727252938619923,23000,46000,65000,79000,91000,102000,127000,129000,129000,129000,129000
GET,/product/L9ECAV7KIM,77,26,46000.0,44965.03817449351,15.175360999933218,138496.85916800002,4846.415584415585,0.4289739682753164,0.1448483529241328,46000,65000,71000,78000,106000,123000,132000,138000,138000,138000,138000
GET,/product/LS4PSXUNUM,67,22,49000.0,42486.735410373134,1.301440000020193,109378.53442300002,4922.164179104478,0.3732630633044961,0.1225639909358047,49000,64000,79000,80000,91000,93000,97000,109000,109000,109000,109000
GET,/product/OLJCESPC7Z,57,23,23000.0,35923.89602300001,40.8425640000587,119900.19579199998,4376.19298245614,0.3175521583336758,0.1281350814328867,23000,55000,65000,69000,88000,114000,115000,120000,120000,120000,120000
POST,/setCurrency,80,46,71,32624.15134260001,0.9030379999330762,138488.20738200005,4204.4125,0.4456872397665625,0.2562701628657734,72,50000,76000,84000,92000,101000,114000,138000,138000,138000,138000
,Aggregated,3677,858,70000.0,63128.34124080678,0.7632770000327582,163661.85604099996,7186.091650802285,20.48489975777063,4.779995646496383,70000,84000,96000,101000,118000,133000,145000,150000,160000,164000,164000
